"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 2","Time Series 2","Time Series 2","Time Series 2","Time Series 2"
15.6,0.05,0.31,0.48,0.38,0.62,0.05,0.05,0.05,0.05,0.05
15.65,0.05,0.32,0.48,0.38,0.62,0,0.05,0.05,0.05,0.05
15.7,0.05,0.32,0.48,0.38,0.62,0,0.05,0.05,0.05,0.05
15.75,0.05,0.32,0.48,0.38,0.62,0,0.05,0.05,0.05,0.05
15.8,0.05,0.32,0.48,0.38,0.62,0,0.05,0.05,0.05,0.05
15.85,0.05,0.32,0.48,0.38,0.62,0,0.05,0.05,0.05,0.05
15.9,0.05,0.32,0.48,0.38,0.63,0,0.05,0.05,0.05,0.05
15.95,0.05,0.32,0.48,0.38,0.63,0,0.05,0.05,0.05,0.05
16,0.05,0.32,0.48,0.38,0.63,0,0.05,0.05,0.05,0.05
16.05,0.05,0.32,0.48,0.38,0.63,0,0.05,0.05,0.05,0.05
16.1,0.05,0.32,0.48,0.38,0.63,0,0.05,0.05,0.05,0.05
16.15,0.05,0.32,0.48,0.38,0.63,0,0.05,0.05,0.05,0.05
16.2,0.05,0.33,0.49,0.38,0.63,0,0.05,0.05,0.05,0.05
